Name,nc_state,degree,weightedDegree,betweenness,closeness,eigenvector,community
"Jones, Jacob",True,697.0,1278.0,5630924.6209620135,0.32375729701043693,1.3715724644986298e-05,6713
"Holland, James",True,457.0,916.0,2613366.715124738,0.30201320132013204,2.3919977869368014e-06,1596
"Brown-Guedira, Gina",True,394.0,760.0,2396955.455007815,0.29531739116403655,2.873316399230844e-05,2210
"Yencho, Craig",True,412.0,709.0,3864974.6508400794,0.3390640631368335,2.0487213523502697e-05,2458
"Theis, Thomas",True,225.0,696.0,16790.513629426136,1.0,3.869644169079416e-14,2876
"Jordan, David",True,266.0,651.0,1584467.0457022795,0.3194846908494222,0.00011582904544176399,3633
"Thakur, Siddhartha",True,401.0,572.0,3141241.7373697427,0.27723582161900145,0.00017494233211826614,7690
"Huseth, Anders",True,446.0,570.0,3702948.5160752856,0.3273241048753443,0.08173387644869994,8076
"Barrangou, Rodolphe",True,367.0,551.0,3540306.4710228737,0.3054507827364064,3.913271222842542e-06,7375
"Daniele, Michael",True,278.0,511.0,1607422.879862076,0.2822292129286948,1.6066610240424363e-05,5536
"Sozzani, Ross",True,360.0,510.0,3276552.9155534436,0.3315459584797652,9.058820088461107e-06,1021
"Chekmenev, Eduard Y.",False,138.0,470.0,2936.5902167277195,0.7211538461538461,3.226737390474633e-14,2876
"Reberg-Horton, Chris",True,260.0,465.0,1788570.7218358463,0.31061403211024746,5.922341442525586e-05,3828
"Bozkurt, Alper",True,189.0,455.0,1045699.7889375798,0.29775811017473075,0.0005476236746770251,5536
"Wei, Qingshan",True,283.0,416.0,2511636.0390582783,0.30819749427455206,4.256412149509969e-06,7050
"Wang, Jack",True,178.0,385.0,433480.9347326272,0.2791981938003417,2.3477913140286696e-07,7114
"Lobaton, Edgar",True,193.0,368.0,2498665.3394828667,0.32759361351757715,3.2573426187256033e-05,5536
"Sihi, Debjani",True,296.0,354.0,1894060.2646854667,0.2250836284927194,0.0005230688153749122,4173
"Ertl, David",False,153.0,348.0,35742.192553098495,0.269503754969813,6.072388260795763e-07,1596
"Leon, Natalia",False,157.0,346.0,24559.55491393263,0.26102458782588855,3.046240357635721e-07,1596
"Meentemeyer, Ross",True,169.0,332.0,1183343.641719146,0.25142182047970985,1.4685746318406846e-05,814
