Name,nc_state,degree,weightedDegree,betweenness,closeness,eigenvector,community
"Jones, Jacob",True,697.0,1278.0,5630924.620962003,0.32375729701043693,1.371572464498631e-05,6455
"Holland, James",True,457.0,916.0,2613366.715124716,0.30201320132013204,2.3919977869368036e-06,7766
"Brown-Guedira, Gina",True,394.0,760.0,2396955.4550078018,0.29531739116403655,2.8733163992308564e-05,3542
"Yencho, Craig",True,412.0,709.0,3864974.6508400887,0.3390640631368335,2.0487213523502663e-05,5942
"Theis, Thomas",True,225.0,696.0,16790.513629426136,1.0,3.869644169079414e-14,2620
"Jordan, David",True,266.0,651.0,1584467.0457022802,0.3194846908494222,0.00011582904544176386,7304
"Thakur, Siddhartha",True,401.0,572.0,3141241.7373697334,0.27723582161900145,0.0001749423321182662,972
"Huseth, Anders",True,446.0,570.0,3702948.5160752954,0.3273241048753443,0.08173387644869985,7820
"Barrangou, Rodolphe",True,367.0,551.0,3540306.471022874,0.3054507827364064,3.913271222842535e-06,8957
"Daniele, Michael",True,278.0,511.0,1607422.8798620785,0.2822292129286948,1.606661024042433e-05,5280
"Sozzani, Ross",True,360.0,510.0,3276552.9155534245,0.3315459584797652,9.058820088461096e-06,764
"Chekmenev, Eduard Y.",False,138.0,470.0,2936.590216727719,0.7211538461538461,3.22673739047463e-14,2620
"Reberg-Horton, Chris",True,260.0,465.0,1788570.7218358505,0.31061403211024746,5.922341442525578e-05,3634
"Bozkurt, Alper",True,189.0,455.0,1045699.7889375818,0.29775811017473075,0.0005476236746770247,5073
"Wei, Qingshan",True,283.0,416.0,2511636.0390582723,0.30819749427455206,4.256412149509967e-06,6794
"Wang, Jack",True,178.0,385.0,433480.93473262974,0.2791981938003417,2.347791314028672e-07,4777
"Lobaton, Edgar",True,193.0,368.0,2498665.3394828774,0.32759361351757715,3.257342618725598e-05,5073
"Sihi, Debjani",True,296.0,354.0,1894060.264685462,0.2250836284927194,0.0005230688153749121,3916
"Ertl, David",False,153.0,348.0,35742.192553098364,0.269503754969813,6.072388260795758e-07,7766
"Leon, Natalia",False,157.0,346.0,24559.5549139324,0.26102458782588855,3.0462403576357147e-07,7766
"Meentemeyer, Ross",True,169.0,332.0,1183343.6417191394,0.25142182047970985,1.4685746318406849e-05,536
"Mergoum, Mohamed",False,111.0,328.0,15904.932750199849,0.25019822282980175,1.2949917163547178e-06,3542
"Murphy, Joseph",True,139.0,325.0,515253.1333632018,0.2870451693851945,3.338119073339978e-05,3542
"Hulse-Kemp, Amanda",True,251.0,319.0,1506607.3939793138,0.29449057089528224,7.200637665231557e-07,6823
"Flint-Garcia, Sherry",False,151.0,316.0,132075.38033788587,0.2685625403533486,5.36079648686381e-07,7766
"Stapelmann, Katharina",True,181.0,316.0,1596882.624371311,0.2777912695039767,4.089092129762523e-06,5541
"Gonzalez, Ramon Leon",True,139.0,313.0,439589.7766811348,0.3041512945790541,6.4705046811951e-05,3634
